Created,LevelID,Name,DeviceID,Reason,Value,lat,lng,Status
2021-12-08T19:02:22.773Z,LUMS_Unit17,AQI,LUMS_2462abb91b6_AQI,CO,106,31.518697,74.322016,1
2021-12-08T19:02:21.764Z,LUMS_Unit17,Carbon Monoxide(CO),LUMS_2462abb91b6_CO,Change,9.8,31.518697,74.322016,1
2021-12-08T19:03:05.064Z,LUMS_Unit17,Dust(pm 1.0),LUMS_2462abb91b6_Dust1.0,Change,0.2,31.518763,74.322006,1
2021-12-08T19:02:59.937Z,LUMS_Unit17,Dust(pm 1.0),LUMS_2462abb91b6_Dust1.0,Change,1.2,31.518726,74.322002,1
2021-12-08T19:02:54.747Z,LUMS_Unit17,Dust(pm 1.0),LUMS_2462abb91b6_Dust1.0,Change,2.6,31.518726,74.322002,1
2021-12-08T19:02:49.593Z,LUMS_Unit17,Dust(pm 1.0),LUMS_2462abb91b6_Dust1.0,Change,3.8,31.518726,74.322002,1
2021-12-08T19:02:43.334Z,LUMS_Unit17,Dust(pm 1.0),LUMS_2462abb91b6_Dust1.0,Change,1.8,31.518726,74.322002,1
2021-12-08T19:03:05.569Z,LUMS_Unit17,Dust(pm 10.0),LUMS_2462abb91b6_Dust10.0,Change,1.2,31.518763,74.322006,1
2021-12-08T19:03:00.434Z,LUMS_Unit17,Dust(pm 10.0),LUMS_2462abb91b6_Dust10.0,Change,2.4,31.518726,74.322002,1
2021-12-08T19:02:55.261Z,LUMS_Unit17,Dust(pm 10.0),LUMS_2462abb91b6_Dust10.0,Change,4.6,31.518726,74.322002,1
2021-12-08T19:02:50.118Z,LUMS_Unit17,Dust(pm 10.0),LUMS_2462abb91b6_Dust10.0,Change,6.6,31.518726,74.322002,1
2021-12-08T19:02:43.872Z,LUMS_Unit17,Dust(pm 10.0),LUMS_2462abb91b6_Dust10.0,Change,3.4,31.518726,74.322002,1
2021-12-08T19:02:37.487Z,LUMS_Unit17,Dust(pm 10.0),LUMS_2462abb91b6_Dust10.0,Change,0.8,31.518726,74.322002,1
2021-12-08T19:03:05.311Z,LUMS_Unit17,Dust(pm 2.5),LUMS_2462abb91b6_Dust2.5,Change,1.2,31.518763,74.322006,1
2021-12-08T19:03:00.193Z,LUMS_Unit17,Dust(pm 2.5),LUMS_2462abb91b6_Dust2.5,Change,2.2,31.518726,74.322002,1
2021-12-08T19:02:55.000Z,LUMS_Unit17,Dust(pm 2.5),LUMS_2462abb91b6_Dust2.5,Change,3.6,31.518726,74.322002,1
2021-12-08T19:02:49.873Z,LUMS_Unit17,Dust(pm 2.5),LUMS_2462abb91b6_Dust2.5,Change,4.8,31.518726,74.322002,1
2021-12-08T19:02:43.634Z,LUMS_Unit17,Dust(pm 2.5),LUMS_2462abb91b6_Dust2.5,Change,2.8,31.518726,74.322002,1
2021-12-08T19:02:37.238Z,LUMS_Unit17,Dust(pm 2.5),LUMS_2462abb91b6_Dust2.5,Change,0.8,31.518726,74.322002,1
2021-12-08T19:02:44.728Z,LUMS_Unit15,Nitrogen Dioxide (NO2),LUMS_5ccf7f2bdc16_NO2,Time Based,0,31.453472,74.44569,1
2021-12-08T19:02:13.605Z,LUMS_Unit15,Nitrogen Dioxide (NO2),LUMS_5ccf7f2bdc16_NO2,Time Based,0,31.4535,74.445664,1
2021-12-08T19:02:45.467Z,LUMS_Unit15,Sulfur Dioxide (SO2),LUMS_5ccf7f2bdc16_SO2,Time Based,0,31.453472,74.44569,1
2021-12-08T19:02:14.347Z,LUMS_Unit15,Sulfur Dioxide (SO2),LUMS_5ccf7f2bdc16_SO2,Time Based,0,31.4535,74.445664,1
2021-12-08T19:03:00.254Z,LUMS_Unit17,Battery Status,LUMS_84f3ebddf0a2_BatteryStatus,Time Based,100,31.518726,74.322002,1
2021-12-08T19:02:24.269Z,LUMS_Unit17,Battery Status,LUMS_84f3ebddf0a2_BatteryStatus,Time Based,100,31.518697,74.322016,1
2021-12-08T19:03:01.023Z,LUMS_Unit17,GPS,LUMS_84f3ebddf0a2_Gps,Time Based,0,31.518763,74.322006,
2021-12-08T19:02:25.094Z,LUMS_Unit17,GPS,LUMS_84f3ebddf0a2_Gps,Time Based,0,31.518726,74.322002,
2021-12-08T19:03:00.827Z,LUMS_Unit17,Grid,LUMS_84f3ebddf0a2_Grid,Time Based,1,31.518726,74.322002,1
2021-12-08T19:02:24.936Z,LUMS_Unit17,Grid,LUMS_84f3ebddf0a2_Grid,Time Based,1,31.518697,74.322016,1
2021-12-08T19:03:00.549Z,LUMS_Unit17,Solar,LUMS_84f3ebddf0a2_Solar,Time Based,0,31.518726,74.322002,1
2021-12-08T19:02:24.641Z,LUMS_Unit17,Solar,LUMS_84f3ebddf0a2_Solar,Time Based,0,31.518697,74.322016,1
2021-12-08T19:02:51.168Z,LUMS_Unit11,Battery Status,LUMS_84f3ebddf1cd_BatteryStatus,Time Based,100,31.476952,74.414256,0
2021-12-08T19:02:16.294Z,LUMS_Unit11,Battery Status,LUMS_84f3ebddf1cd_BatteryStatus,Time Based,100,31.476952,74.414256,0
2021-12-08T19:02:51.762Z,LUMS_Unit11,Grid,LUMS_84f3ebddf1cd_Grid,Time Based,1,31.476952,74.414256,0
2021-12-08T19:02:16.859Z,LUMS_Unit11,Grid,LUMS_84f3ebddf1cd_Grid,Time Based,1,31.476952,74.414256,0
2021-12-08T19:02:17.449Z,LUMS_Unit11,Humidity,LUMS_84f3ebddf1cd_Humidity,Time Based,37,31.476952,74.414256,0
2021-12-08T19:02:51.502Z,LUMS_Unit11,Solar,LUMS_84f3ebddf1cd_Solar,Time Based,0,31.476952,74.414256,0
2021-12-08T19:02:16.535Z,LUMS_Unit11,Solar,LUMS_84f3ebddf1cd_Solar,Time Based,0,31.476952,74.414256,0
2021-12-08T19:02:17.166Z,LUMS_Unit11,Temperature,LUMS_84f3ebddf1cd_Temperature,Time Based,21.6,31.476952,74.414256,0
2021-12-08T19:03:06.283Z,LUMS_Unit15,Battery Status,LUMS_84f3ebde097_BatteryStatus,Time Based,100,31.453472,74.44569,1
2021-12-08T19:02:35.283Z,LUMS_Unit15,Battery Status,LUMS_84f3ebde097_BatteryStatus,Time Based,100,31.4535,74.445664,1
2021-12-08T19:03:07.021Z,LUMS_Unit15,GPS,LUMS_84f3ebde097_Gps,Time Based,0,31.453506,74.445657,
2021-12-08T19:02:36.066Z,LUMS_Unit15,GPS,LUMS_84f3ebde097_Gps,Time Based,0,31.453472,74.44569,
2021-12-08T19:03:06.857Z,LUMS_Unit15,Grid,LUMS_84f3ebde097_Grid,Time Based,1,31.453472,74.44569,1
2021-12-08T19:02:35.879Z,LUMS_Unit15,Grid,LUMS_84f3ebde097_Grid,Time Based,1,31.4535,74.445664,1
2021-12-08T19:03:07.692Z,LUMS_Unit15,Humidity,LUMS_84f3ebde097_Humidity,Time Based,35.5,31.453506,74.445657,1
2021-12-08T19:02:36.723Z,LUMS_Unit15,Humidity,LUMS_84f3ebde097_Humidity,Time Based,35.7,31.453472,74.44569,1
2021-12-08T19:03:06.574Z,LUMS_Unit15,Solar,LUMS_84f3ebde097_Solar,Time Based,0,31.453472,74.44569,1
2021-12-08T19:02:35.655Z,LUMS_Unit15,Solar,LUMS_84f3ebde097_Solar,Time Based,0,31.4535,74.445664,1
2021-12-08T19:03:07.376Z,LUMS_Unit15,Temperature,LUMS_84f3ebde097_Temperature,Time Based,21.6,31.453506,74.445657,1
2021-12-08T19:02:36.385Z,LUMS_Unit15,Temperature,LUMS_84f3ebde097_Temperature,Time Based,21.6,31.453472,74.44569,1
2021-12-08T19:02:49.297Z,LUMS_Unit4,Battery Status,LUMS_84f3ebde11dd_BatteryStatus,Time Based,65,31.471669,74.411021,1
2021-12-08T19:02:19.293Z,LUMS_Unit4,Battery Status,LUMS_84f3ebde11dd_BatteryStatus,Time Based,65,31.471678,74.411012,1
2021-12-08T19:02:50.063Z,LUMS_Unit4,GPS,LUMS_84f3ebde11dd_Gps,Time Based,0,31.471652,74.411004,
2021-12-08T19:02:20.039Z,LUMS_Unit4,GPS,LUMS_84f3ebde11dd_Gps,Time Based,0,31.471669,74.411021,
2021-12-08T19:02:49.849Z,LUMS_Unit4,Grid,LUMS_84f3ebde11dd_Grid,Time Based,0,31.471669,74.411021,1
2021-12-08T19:02:19.847Z,LUMS_Unit4,Grid,LUMS_84f3ebde11dd_Grid,Time Based,0,31.471678,74.411012,1
2021-12-08T19:02:49.585Z,LUMS_Unit4,Solar,LUMS_84f3ebde11dd_Solar,Time Based,0,31.471669,74.411021,1
2021-12-08T19:02:19.610Z,LUMS_Unit4,Solar,LUMS_84f3ebde11dd_Solar,Time Based,0,31.471678,74.411012,1
2021-12-08T19:03:07.188Z,LUMS_Unit11,AQI,LUMS_84f3ebdef4c_AQI,Dust2.5,73,31.476952,74.414256,0
2021-12-08T19:02:34.127Z,LUMS_Unit11,AQI,LUMS_84f3ebdef4c_AQI,Dust2.5,70,31.476952,74.414256,0
2021-12-08T19:03:04.785Z,LUMS_Unit11,Carbon Monoxide(CO),LUMS_84f3ebdef4c_CO,Time Based,0,31.476952,74.414256,0
2021-12-08T19:02:31.916Z,LUMS_Unit11,Carbon Monoxide(CO),LUMS_84f3ebdef4c_CO,Time Based,0,31.476952,74.414256,0
2021-12-08T19:03:05.573Z,LUMS_Unit11,Dust(pm 1.0),LUMS_84f3ebdef4c_Dust1.0,Time Based,17.6,31.476952,74.414256,0
